run,fold,seed,model,f1_score,accuracy,recall,precision,tn,fp,fn,tp
1,1,42,codebert,0.9332797858099063,0.9350872623078926,0.907996874185986,0.9600110162489672,18469,726,1766,17429
1,2,42,codebert,0.9332691433309261,0.9350091169575411,0.9089346183902057,0.9589425085192921,18448,747,1748,17447
1,3,42,codebert,0.9317195951373641,0.9335764522010941,0.9063818702787184,0.9585146823866454,18442,753,1797,17398
1,4,42,codebert,0.9340397634529449,0.9357905704610575,0.9092471997916124,0.9602222711267606,18472,723,1742,17453
1,5,42,codebert,0.9364312961826767,0.9379265433706695,0.9144047929148216,0.9595451563525038,18455,740,1643,17552
1,6,42,codebert,0.9355968453415319,0.9372476490661388,0.9116390538710013,0.960847839218055,18482,713,1696,17498
1,7,42,codebert,0.9337249666221628,0.9353460626742035,0.9109096592685214,0.9577125328659071,18423,772,1710,17484
1,8,42,codebert,0.9337254377756985,0.9354242100601735,0.9098155673648015,0.9589259238921531,18447,748,1731,17463
1,9,42,codebert,0.9349954523567492,0.9367006173643492,0.9104928623528186,0.9608533098746426,18483,712,1718,17476
1,10,42,codebert,0.9330585369770618,0.9348511292297272,0.9080489710862204,0.9594847517340086,18458,736,1765,17430
