run,fold,seed,model,f1_score,accuracy,recall,precision,tn,fp,fn,tp
1,1,42,word2vec,0.9465725539958231,0.9473560823131024,0.9326908048971086,0.96087376556462,18466,729,1292,17903
1,2,42,word2vec,0.9458201058201058,0.9466527741599375,0.9312841885907789,0.9608169846815372,18466,729,1319,17876
1,3,42,word2vec,0.945148347587372,0.945871320656421,0.9326908048971086,0.9579431751297555,18409,786,1292,17903
1,4,42,word2vec,0.9468977377960047,0.9477207606147434,0.9322219327949987,0.9620430107526882,18489,706,1301,17894
1,5,42,word2vec,0.95027711797308,0.9509247199791613,0.9379004949205523,0.962984755282161,18503,692,1192,18003
1,6,42,word2vec,0.9457356133199216,0.9465992862538748,0.9307075127644056,0.9612569952647438,18475,720,1330,17864
1,7,42,word2vec,0.9465592392022191,0.9473026127276043,0.9334166927164739,0.9600771662826215,18450,745,1278,17916
1,8,42,word2vec,0.9470235421565777,0.9477714970434239,0.9336771907887882,0.960756982790972,18463,732,1273,17921
1,9,42,word2vec,0.9467565068040692,0.9475110057568574,0.933364593102011,0.9605383089378585,18459,736,1279,17915
1,10,42,word2vec,0.9480264900662252,0.9488916095756597,0.9322219327949987,0.9643761789275128,18533,661,1301,17894
